"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.865454750E0,2.335144043E-2,1.546284485E-1,9.740544434E0,9.741799685E0
2.875494750E0,2.724334717E-2,1.508862305E-1,9.735604706E0,9.736811996E0
2.885534750E0,2.230361938E-2,1.526824951E-1,9.745184784E0,9.746406305E0
2.895575750E0,2.424957275E-2,1.520837402E-1,9.749525757E0,9.750742022E0
2.905615750E0,2.589614868E-2,1.567240906E-1,9.747729492E0,9.749023710E0
2.915655750E0,2.888992310E-2,1.510359192E-1,9.744286652E0,9.745499927E0
2.925695750E0,3.098556519E-2,1.519340515E-1,9.745633850E0,9.746867353E0
2.935736750E0,3.981719971E-2,1.495390320E-1,9.742191010E0,9.743419985E0
2.945776750E0,3.068618774E-2,1.583706665E-1,9.740095367E0,9.741431141E0
2.955816750E0,3.248245239E-2,1.555265808E-1,9.745184784E0,9.746479883E0
2.965856750E0,2.829116821E-2,1.564247131E-1,9.756261749E0,9.757556682E0
2.975896750E0,2.814147949E-2,1.522334290E-1,9.749525757E0,9.750754814E0
2.985937750E0,2.350112915E-2,1.570234680E-1,9.740993500E0,9.742287362E0
2.995956708E0,1.886077881E-2,1.523831177E-1,9.746831360E0,9.748040721E0
3.005978708E0,2.634521484E-2,1.517843628E-1,9.742340698E0,9.743558633E0
3.016001708E0,2.814147949E-2,1.462458801E-1,9.739496613E0,9.740635198E0
3.026023708E0,3.353027344E-2,1.501377869E-1,9.740095367E0,9.741310148E0
3.036045708E0,2.634521484E-2,1.549278259E-1,9.737850037E0,9.739118032E0
3.046067708E0,2.290237427E-2,1.468446350E-1,9.746831360E0,9.747964373E0
3.056090708E0,2.784210205E-2,1.507365417E-1,9.747579803E0,9.748784986E0
3.066112708E0,2.664459229E-2,1.438508606E-1,9.752818909E0,9.753916120E0
3.076135708E0,2.484832764E-2,1.432521057E-1,9.750723267E0,9.751807157E0
3.086157708E0,2.350112915E-2,1.534309387E-1,9.751022644E0,9.752257993E0
3.096180708E0,2.215393066E-2,1.538800049E-1,9.748777313E0,9.750016870E0
3.106203708E0,2.365081787E-2,1.561253357E-1,9.739646301E0,9.740926268E0
3.116226708E0,3.128494263E-2,1.511856079E-1,9.745035095E0,9.746257992E0
3.126248708E0,3.128494263E-2,1.468446350E-1,9.749974823E0,9.751130762E0
3.136271708E0,2.784210205E-2,1.543290710E-1,9.759255524E0,9.760515408E0
3.146294708E0,2.604583740E-2,1.499880981E-1,9.753267975E0,9.754455956E0
3.156317708E0,2.320175171E-2,1.522334290E-1,9.744885406E0,9.746102037E0
3.166340708E0,2.454895020E-2,1.612147522E-1,9.747729492E0,9.749093450E0
3.176363708E0,3.248245239E-2,1.544787598E-1,9.751471710E0,9.752749321E0
3.186386708E0,3.367996216E-2,1.549278259E-1,9.747729492E0,9.749018783E0
3.196408708E0,2.918930054E-2,1.601669312E-1,9.751621399E0,9.752980333E0
3.206431708E0,2.365081787E-2,1.493893433E-1,9.749076691E0,9.750249887E0
3.216453708E0,3.353027344E-2,1.493893433E-1,9.751022644E0,9.752224570E0
3.226476708E0,1.916015625E-2,1.483415222E-1,9.751771088E0,9.752918110E0
3.236498708E0,2.260299683E-2,1.508862305E-1,9.743538208E0,9.744732647E0
